test,n,rho,p_value,ci_lo,ci_hi,significant,interpretation
combo-level mean ASR,10,0.340,0.336,-0.528,0.860,No,Orthogonal by design
per-model per-combo,90,0.165,0.120,-0.077,0.386,No,Orthogonal by design
